Date,Transaction_ID,Product_Name,Category,Quantity,Unit_Price,Gross_Revenue,Discount_Applied,Net_Revenue,Net_Profit
2026-04-13,TXN-832180,Workstation Pro Setup,Electronics,13,850,11050,405.39,10644.61,4726.860000000001
2026-04-13,TXN-275203,Cloud Workspace Pro,SaaS,23,45,1035,15.52,1019.48,518.05
2026-04-14,TXN-427069,AI Analytics API Token,SaaS,26,250,6500,36.67,6463.33,2944.69
2026-02-07,TXN-358795,Cloud Workspace Pro,SaaS,25,45,1125,104.2,1020.8,487.5999999999999
2026-03-30,TXN-754811,Enterprise Server Suite,Electronics,11,1200,13200,2019.11,11180.89,6396.599999999999
2026-07-07,TXN-373538,AI Analytics API Token,SaaS,48,250,12000,617.08,11382.92,5481.07
2026-08-17,TXN-765987,AI Analytics API Token,SaaS,11,250,2750,46.89,2703.11,1586.7
2026-03-30,TXN-168148,Workstation Pro Setup,Electronics,14,850,11900,1923.99,9976.01,5377.84
2026-05-10,TXN-356508,Workstation Pro Setup,Electronics,12,850,10200,897.91,9302.09,5354.21
2026-01-08,TXN-905889,AI Analytics API Token,SaaS,18,250,4500,175.98,4324.02,2436.8100000000004
2026-05-14,TXN-302283,Cloud Workspace Pro,SaaS,8,45,360,9.98,350.02,142.14
2026-06-11,TXN-587879,Cloud Workspace Pro,SaaS,40,45,1800,161.43,1638.57,681.03
2026-07-25,TXN-124300,Workstation Pro Setup,Electronics,9,850,7650,1470.59,6179.41,2663.8999999999996
2026-03-23,TXN-616588,Cybersecurity Firewall V4,Software,8,600,4800,513.72,4286.28,2330.9399999999996
2026-02-10,TXN-220151,Cybersecurity Firewall V4,Software,13,600,7800,174.45,7625.55,3070.2200000000003
2026-05-09,TXN-401648,Workstation Pro Setup,Electronics,8,850,6800,7.51,6792.49,2967.6899999999996
2026-05-16,TXN-388998,AI Analytics API Token,SaaS,39,250,9750,751.99,8998.01,5265.56
2026-02-10,TXN-938688,Workstation Pro Setup,Electronics,7,850,5950,1011.55,4938.45,2519.1499999999996
2026-02-17,TXN-994498,Cybersecurity Firewall V4,Software,3,600,1800,319.3,1480.7,807.0600000000001
2026-07-12,TXN-314020,AI Analytics API Token,SaaS,41,250,10250,996.0,9254.0,3981.2299999999996
2026-08-06,TXN-647707,AI Analytics API Token,SaaS,13,250,3250,230.97,3019.03,1744.4600000000003
2026-07-24,TXN-210687,AI Analytics API Token,SaaS,36,250,9000,572.77,8427.23,4526.51
2026-05-12,TXN-874684,Cybersecurity Firewall V4,Software,7,600,4200,761.57,3438.43,1691.82
2026-02-05,TXN-143585,Cybersecurity Firewall V4,Software,7,600,4200,365.09,3834.91,2177.29
2026-06-19,TXN-981691,Cybersecurity Firewall V4,Software,14,600,8400,1596.18,6803.82,2896.4399999999996
2026-04-18,TXN-388249,Workstation Pro Setup,Electronics,4,850,3400,606.94,2793.06,1374.55
2026-04-02,TXN-554589,Enterprise Server Suite,Electronics,7,1200,8400,1904.34,6495.66,3543.8599999999997
2026-05-01,TXN-121959,Workstation Pro Setup,Electronics,13,850,11050,1902.21,9147.79,5475.950000000001
2026-06-04,TXN-265838,Enterprise Server Suite,Electronics,14,1200,16800,932.85,15867.15,9139.91
2026-02-28,TXN-293075,Enterprise Server Suite,Electronics,4,1200,4800,436.36,4363.64,1770.0800000000004
2026-01-12,TXN-193264,Cloud Workspace Pro,SaaS,7,45,315,14.22,300.78,163.32999999999998
2026-07-06,TXN-452228,Enterprise Server Suite,Electronics,2,1200,2400,301.61,2098.39,1237.4299999999998
2026-08-12,TXN-937291,Enterprise Server Suite,Electronics,1,1200,1200,71.87,1128.13,644.19
2026-08-06,TXN-911774,Workstation Pro Setup,Electronics,7,850,5950,906.33,5043.67,2786.4900000000002
2026-02-07,TXN-210078,Cybersecurity Firewall V4,Software,4,600,2400,708.06,1691.94,880.21
2026-08-28,TXN-115708,Enterprise Server Suite,Electronics,9,1200,10800,866.11,9933.89,5589.759999999999
2026-01-03,TXN-659042,Workstation Pro Setup,Electronics,12,850,10200,1382.23,8817.77,5261.41
2026-05-27,TXN-171295,Workstation Pro Setup,Electronics,7,850,5950,207.5,5742.5,2651.96
2026-02-08,TXN-925816,Cloud Workspace Pro,SaaS,44,45,1980,40.84,1939.16,1031.22
2026-06-27,TXN-207512,Cloud Workspace Pro,SaaS,39,45,1755,60.17,1694.83,957.5899999999999
2026-03-01,TXN-907364,Enterprise Server Suite,Electronics,2,1200,2400,597.75,1802.25,733.3599999999999
2026-02-06,TXN-690978,AI Analytics API Token,SaaS,13,250,3250,90.63,3159.37,1453.08
2026-05-28,TXN-891971,Enterprise Server Suite,Electronics,8,1200,9600,2042.23,7557.77,3120.4000000000005
2026-06-15,TXN-837378,Workstation Pro Setup,Electronics,14,850,11900,21.89,11878.11,6885.81
2026-06-02,TXN-102869,Cybersecurity Firewall V4,Software,2,600,1200,57.89,1142.11,559.9199999999998
2026-06-12,TXN-977844,Cybersecurity Firewall V4,Software,9,600,5400,285.0,5115.0,3050.51
2026-02-17,TXN-710704,Workstation Pro Setup,Electronics,8,850,6800,883.5,5916.5,2545.01
2026-05-08,TXN-500109,Enterprise Server Suite,Electronics,12,1200,14400,1831.73,12568.27,5941.4400000000005
2026-06-07,TXN-673665,Cybersecurity Firewall V4,Software,3,600,1800,481.71,1318.29,624.5699999999999
2026-01-21,TXN-979611,Enterprise Server Suite,Electronics,12,1200,14400,2408.13,11991.869999999999,5122.519999999999
2026-03-02,TXN-566960,AI Analytics API Token,SaaS,8,250,2000,4.86,1995.14,939.5200000000002
2026-06-21,TXN-278274,Workstation Pro Setup,Electronics,14,850,11900,2270.35,9629.65,4015.83
2026-05-04,TXN-538452,Enterprise Server Suite,Electronics,5,1200,6000,1392.48,4607.52,2369.9400000000005
2026-04-05,TXN-368246,AI Analytics API Token,SaaS,37,250,9250,69.7,9180.3,4946.9
2026-06-10,TXN-465890,AI Analytics API Token,SaaS,22,250,5500,306.24,5193.76,2143.82
2026-04-14,TXN-156958,Cloud Workspace Pro,SaaS,36,45,1620,163.09,1456.91,769.6400000000001
2026-06-04,TXN-730152,Cloud Workspace Pro,SaaS,6,45,270,13.06,256.94,110.55000000000001
2026-02-12,TXN-653880,Cybersecurity Firewall V4,Software,10,600,6000,1456.85,4543.15,1989.7999999999997
2026-06-01,TXN-956748,Cybersecurity Firewall V4,Software,12,600,7200,1104.5,6095.5,3045.9
2026-01-20,TXN-584299,Enterprise Server Suite,Electronics,8,1200,9600,1684.72,7915.28,3489.38
2026-04-25,TXN-330229,Workstation Pro Setup,Electronics,2,850,1700,31.95,1668.05,807.91
2026-02-20,TXN-155609,Enterprise Server Suite,Electronics,10,1200,12000,1627.93,10372.07,5628.84
2026-02-27,TXN-561243,Enterprise Server Suite,Electronics,4,1200,4800,46.6,4753.4,2563.7299999999996
2026-04-11,TXN-476836,Enterprise Server Suite,Electronics,8,1200,9600,1847.98,7752.02,4316.6
2026-04-13,TXN-562894,Workstation Pro Setup,Electronics,6,850,5100,52.72,5047.28,2491.99
2026-04-09,TXN-322866,Workstation Pro Setup,Electronics,13,850,11050,2142.68,8907.32,4071.37
2026-05-25,TXN-132217,AI Analytics API Token,SaaS,32,250,8000,595.23,7404.77,4071.3500000000004
2026-04-27,TXN-903328,Enterprise Server Suite,Electronics,12,1200,14400,1472.23,12927.77,7308.6
2026-08-27,TXN-276615,Cloud Workspace Pro,SaaS,36,45,1620,133.46,1486.54,679.4699999999999
2026-08-25,TXN-765022,Cybersecurity Firewall V4,Software,1,600,600,171.88,428.12,193.69
2026-03-10,TXN-955474,Cybersecurity Firewall V4,Software,7,600,4200,60.12,4139.88,2015.2600000000002
2026-08-17,TXN-965264,Enterprise Server Suite,Electronics,13,1200,15600,452.68,15147.32,8949.029999999999
2026-04-04,TXN-790607,Workstation Pro Setup,Electronics,5,850,4250,403.05,3846.95,2232.8999999999996
